"correlationLowerBound","correlationUpperBound","correlation","correlationPear","distance","upToAirQuality","valueToUse","samples","latitudeStart"
0.0231281167163989,0.0809391666111905,0.0528527024850671,0.0193181703825357,16000,12,"pm2_5",4597,36.6163024
0.0226117290942559,0.0768900892064434,0.0488867502931086,0.0213856776094358,18000,44,"aqi",5152,35.79115496
0.0223104869710936,0.0870999175900807,0.0557861822716507,0.01821243020059,16000,34,"aqi",3541,36.6163024
0.022233146447933,0.0744037235535315,0.0482869136914137,0.0159738992816504,18000,48,"aqi",5373,35.79115496
0.0221358382894673,0.141820759831489,0.0833222787089618,0.033403485805093,8000,46,"aqi",1049,40.22787247
0.0220215687931383,0.0801726031822988,0.0505419618184705,0.0314284586966218,18000,38,"aqi",4612,35.79115496
0.0219999282518447,0.0712177139131939,0.046465365042309,0.0240962962138419,20000,54,"aqi",6212,35.79115496
0.0218953675422648,0.0737914606245935,0.0476670064717043,0.0270625167606218,20000,10,"pm2_5",5473,35.79115496
0.0218097181439102,0.0745115999793165,0.0489472612551065,0.0220862994472456,20000,46,"aqi",5775,35.79115496
0.0218042522611985,0.104823342269997,0.064751302329329,0.0228704729806481,12000,8,"pm2_5",2226,37.7583355
0.0207211925947645,0.101011908393542,0.0586647329745693,0.0365047045356671,14000,28,"aqi",2338,36.6163024
0.0205991807417859,0.122954300414104,0.070361572148923,0.0207225481535881,12000,6,"pm2_5",1490,37.7583355
0.0203907101769714,0.108140288548578,0.0638593096746099,0.0094278250132991,10000,46,"aqi",1958,38.02080697
0.0199448424264731,0.0728816992764877,0.04631668152336,0.0177572168333994,18000,50,"aqi",5481,35.79115496
0.0194352582176472,0.149606574027143,0.0806687814317611,0.0433440944296239,8000,44,"aqi",1020,40.22787247
0.0192716101721195,0.0720969704436337,0.0463029445422777,0.0162659600999994,18000,12,"pm2_5",5490,35.79115496
0.0191698845139313,0.0698215566882587,0.045364972467347,0.0240470242399117,20000,52,"aqi",6073,35.79115496
0.0190230438816851,0.0732458130493934,0.0459401275219504,0.0350925200988777,20000,38,"aqi",5054,35.79115496
0.0186451328821076,0.0700182180044997,0.0446431122566954,0.0170244749098867,20000,48,"aqi",5878,35.79115496
0.0186054665504332,0.116938609084197,0.0678393521132906,0.0261362307887281,12000,28,"aqi",1712,37.7583355
0.0185322303631685,0.0859484250658839,0.0518661744473236,0.0235411904766667,16000,32,"aqi",3296,36.6163024
0.0185038972370577,0.0688837061953604,0.0433503162186404,0.0170210588178994,20000,12,"pm2_5",6011,35.79115496
0.0182948719488276,0.0705102765958963,0.0445897873045701,0.0237041403457165,20000,44,"aqi",5640,35.79115496
0.0182319578066456,0.0847103464975266,0.0506976059160854,0.0211684150527417,16000,8,"pm2_5",3493,36.6163024
0.0175062170809865,0.141902297811134,0.0831547692439349,0.027115880386231,8000,48,"aqi",1063,40.22787247
0.0171978637103622,0.0677475809061082,0.0428976052392173,0.0185164459012319,20000,50,"aqi",6001,35.79115496
0.0169554191923439,0.1153146451486,0.0684882886016548,0.040852398891748,14000,22,"aqi",1566,36.6163024
0.0149137355633659,0.139856104267939,0.0795841014569092,0.0322269429572121,8000,50,"aqi",1092,40.22787247
0.0130337472424854,0.0722562255062374,0.0425311156606936,0.0217387625725881,18000,36,"aqi",4475,35.79115496
0.0127630251615822,0.097102298792188,0.0538468377596507,0.0123167077921065,10000,12,"pm2_5",2037,38.02080697
0.0124457164457083,0.0994472315905309,0.0553784016457302,0.0139402941239934,10000,50,"aqi",2034,38.02080697
0.0114500952574193,0.100826636259593,0.0560939298585256,0.00163442234230906,10000,48,"aqi",1988,38.02080697
0.00944893376744507,0.0893990096719873,0.050089716737223,0.0288999151056735,16000,6,"pm2_5",2380,36.6163024
0.00942037977489627,0.0861680878726673,0.048443240685677,0.0306871771043225,14000,30,"aqi",2614,36.6163024
0.00922423301491387,0.353020017626333,0.189219143222983,0.026621425832966,16000,2,"pm2_5",114,36.6163024
0.00907214656476664,0.0996085844664951,0.0542484933535463,0.0151555906379519,10000,44,"aqi",1909,38.02080697
0.00847363280561023,0.0695004591657069,0.0396589016947828,0.0182865194016143,18000,34,"aqi",4199,35.79115496
