"LatCase","LongCase","LatAir","LongAir","distance"
18.304264,-66.327738,18.420089,-66.150615,22725.1548260872
18.31586,-65.28813,18.383983,-65.618888,35760.8883335903
18.316963,-66.420383,18.420089,-66.150615,30725.5457134012
18.318373,-65.666866,18.383983,-65.618888,8890.50923503771
18.328646,-66.971214,18.009558,-66.627249,50845.6956851515
18.328802,-65.887612,18.198712,-66.052237,22640.0515648582
18.335443,-67.23174,18.009558,-66.627249,73510.1624501386
18.3358,-64.8963,18.383983,-65.618888,76531.7006611685
18.336159,-65.998884,18.198712,-66.052237,16306.8951935009
18.342114,-65.725097,18.383983,-65.618888,12150.566006279
18.345114,-66.114523,18.420089,-66.150615,9175.81438236248
18.346329,-65.813742,18.383983,-65.618888,21008.6738551547
18.34946,-66.168435,18.420089,-66.150615,8084.60007764068
18.360255,-67.175131,18.009558,-66.627249,69868.0080926986
18.362406,-66.246616,18.420089,-66.150615,12002.963666648
18.373715,-66.560488,18.009558,-66.627249,41148.0150581871
18.374986,-65.956831,18.440095,-66.11446,18158.565456468
18.377805,-67.080952,18.009558,-66.627249,63107.8270535433
18.386933,-66.061128,18.440095,-66.11446,8170.20460439094
18.406631,-66.675077,18.009558,-66.627249,44490.3671783724
18.409346,-66.33725,18.420089,-66.150615,19748.5126154536
18.410928,-66.796326,18.009558,-66.627249,48124.6634877537
18.418578,-66.860206,18.009558,-66.627249,51768.2344281504
18.420473,-66.490461,18.420089,-66.150615,35893.1783642644
18.425688,-65.89943,18.440095,-66.11446,22765.4927232255
18.428262,-66.397924,18.420089,-66.150615,26135.0226375401
18.431446,-66.213553,18.420089,-66.150615,6766.20600307247
18.436115,-66.278669,18.420089,-66.150615,13641.0904432079
18.437269,-66.143306,18.420089,-66.150615,2062.37267513829
18.439692,-66.926113,18.009558,-66.627249,57369.8604101474
18.445533,-66.560531,18.420089,-66.150615,43383.0644527247
18.44981,-67.005093,18.009558,-66.627249,63228.670034478
18.459681,-67.120815,18.009558,-66.627249,72346.0569603089
19.60121157,-155.5210167,19.4308,-155.2578,33505.2941759765
20.86399628,-156.5689097,20.869627,-156.493626,7855.91714273945
